observer_id,true_lag,noise_sd,gain,bias
O01,1.0,8.0,0.8376709391550599,7.609957626188095
O02,3.0,8.0,1.104455880796141,4.577028884431261
O03,2.0,8.0,0.9801543751582269,-2.0672316122787002
O04,1.0,8.0,1.1707059955394408,2.3018419212906327
O05,2.0,8.0,0.9773656795309325,-4.36418045144357
O06,3.0,8.0,1.021833914806334,-6.978923902333195
O07,3.0,8.0,1.0526657596488258,4.129403841365981
O08,3.0,8.0,0.9418103872519473,7.531168390318452
O09,2.0,8.0,1.1113533988295048,-4.885780674368519
O10,3.0,8.0,0.9866884014908137,-7.29913974740434
O11,2.0,8.0,1.0732195812969818,3.916194494525074
O12,1.0,8.0,1.187003892973684,-2.786794269789569
O13,3.0,8.0,0.9878223245103231,-4.968458254651429
O14,2.0,8.0,0.8519686021341887,-0.3887211803850601
O15,1.0,8.0,1.0679255978730042,-1.0055692980427082
O16,4.0,16.0,1.133071278423135,3.204241632035986
O17,4.0,16.0,1.1329039205580804,4.87622971994883
O18,5.0,16.0,0.9549913516120698,-3.3867503371160943
O19,4.0,16.0,0.855900993443724,-4.801468760398267
O20,6.0,16.0,0.8029449079004023,4.590790040034214
O21,7.0,16.0,1.082066151450534,4.491664496351486
O22,6.0,16.0,0.983566310215336,1.0998591352462999
O23,4.0,16.0,0.8458120294143894,2.6944473886475464
O24,4.0,16.0,0.988438482457253,1.0437777036990212
O25,4.0,16.0,1.0538873280002363,0.8572704105279332
O26,7.0,16.0,1.0236828642981655,-3.136798430998205
O27,6.0,16.0,0.974686955692945,-4.566645234887533
O28,4.0,16.0,0.9634114574898545,5.654449172290658
